,abs,train_step,solver_step
3,0.1433018147945404,45000,3
4,0.04352797940373421,45000,4
5,0.015711959451436996,45000,5
6,0.004804392345249653,45000,6
7,0.0016179606318473816,45000,7
8,0.0005795016186311841,45000,8
9,0.00020396066247485578,45000,9
10,0.00020396066247485578,45000,10
11,0.00020396066247485578,45000,11
0,5.8225626945495605,46000,0
1,1.8225479125976562,46000,1
2,0.5425240397453308,46000,2
3,0.15363268554210663,46000,3
4,0.04101049154996872,46000,4
5,0.013827071525156498,46000,5
6,0.0037477691657841206,46000,6
7,0.0013332839589565992,46000,7
8,0.00043031451059505343,46000,8
9,0.00043031451059505343,46000,9
10,0.00043031451059505343,46000,10
11,0.00043031451059505343,46000,11
0,5.614034175872803,47000,0
1,1.8317548036575317,47000,1
2,0.5586104989051819,47000,2
3,0.20068614184856415,47000,3
4,0.046720240265131,47000,4
5,0.015915358439087868,47000,5
6,0.005121330730617046,47000,6
7,0.0018266134429723024,47000,7
8,0.00067843560827896,47000,8
9,0.00023088016314432025,47000,9
10,0.00023088016314432025,47000,10
11,0.00023088016314432025,47000,11
0,5.504782676696777,48000,0
1,1.761794924736023,48000,1
2,0.5401637554168701,48000,2
3,0.15576300024986267,48000,3
4,0.0471859835088253,48000,4
5,0.017061913385987282,48000,5
6,0.0053387959487736225,48000,6
7,0.001882113516330719,48000,7
8,0.0006561659974977374,48000,8
9,0.0002463299024384469,48000,9
10,9.461269655730575e-05,48000,10
11,9.461269655730575e-05,48000,11
0,5.676783561706543,49000,0
1,1.8385604619979858,49000,1
2,0.5748525261878967,49000,2
3,0.1617589294910431,49000,3
4,0.048907507210969925,49000,4
5,0.017574360594153404,49000,5
6,0.005331740714609623,49000,6
7,0.0019381780875846744,49000,7
8,0.0006872497033327818,49000,8
9,0.00026357712340541184,49000,9
10,0.00026187908952124417,49000,10
11,0.00026187908952124417,49000,11
0,5.656322002410889,50000,0
1,1.7998188734054565,50000,1
2,0.5354713797569275,50000,2
3,0.14308427274227142,50000,3
4,0.0455075204372406,50000,4
5,0.01593749411404133,50000,5
6,0.005026481579989195,50000,6
7,0.0018204252701252699,50000,7
8,0.000683323887642473,50000,8
9,0.00024523111642338336,50000,9
10,0.00024523111642338336,50000,10
11,0.00024523111642338336,50000,11
0,5.534358501434326,51000,0
1,1.7687360048294067,51000,1
2,0.5191588997840881,51000,2
3,0.13272631168365479,51000,3
4,0.040498629212379456,51000,4
5,0.013979117386043072,51000,5
6,0.004253537394106388,51000,6
7,0.0014896916691213846,51000,7
8,0.0005148205091245472,51000,8
9,0.00017413288878742605,51000,9
10,0.00017413288878742605,51000,10
11,0.00017413288878742605,51000,11
0,5.635665416717529,52000,0
1,1.7816851139068604,52000,1
2,0.5433202981948853,52000,2
3,0.1774875968694687,52000,3
4,0.042418189346790314,52000,4
5,0.014192047528922558,52000,5
6,0.004243816714733839,52000,6
7,0.0015088277868926525,52000,7
8,0.000489295634906739,52000,8
9,0.0001713835372356698,52000,9
10,0.0001713835372356698,52000,10
11,0.0001713835372356698,52000,11
0,5.767380714416504,53000,0
1,1.7723227739334106,53000,1
2,0.5414353609085083,53000,2
3,0.15789708495140076,53000,3
4,0.04012114554643631,53000,4
5,0.014155504293739796,53000,5
6,0.0039297547191381454,53000,6
7,0.0014139527920633554,53000,7
8,0.0004754035035148263,53000,8
9,0.00017009180737659335,53000,9
10,0.00017009180737659335,53000,10
11,0.00017009180737659335,53000,11
0,5.634740352630615,54000,0
1,1.7714874744415283,54000,1
2,0.5576835870742798,54000,2
3,0.17560873925685883,54000,3
4,0.046267662197351456,54000,4
5,0.01581648737192154,54000,5
6,0.00425282446667552,54000,6
7,0.0015685001853853464,54000,7
8,0.0005275303265079856,54000,8
9,0.00019310756761115044,54000,9
10,0.00019310756761115044,54000,10
11,0.00019310756761115044,54000,11
0,5.612920761108398,55000,0
1,1.8079216480255127,55000,1
2,0.5273424983024597,55000,2
3,0.1443779319524765,55000,3
4,0.041174132376909256,55000,4
5,0.014126590453088284,55000,5
6,0.004147492814809084,55000,6
7,0.0013638000236824155,55000,7
8,0.00045322737423703074,55000,8
9,0.00045322737423703074,55000,9
10,0.00045322737423703074,55000,10
11,0.00045322737423703074,55000,11
0,5.694660663604736,56000,0
1,1.7763265371322632,56000,1
2,0.5602051019668579,56000,2
3,0.1637939065694809,56000,3
4,0.04616983234882355,56000,4
5,0.021064667031168938,56000,5
6,0.007166431751102209,56000,6
7,0.002173815853893757,56000,7
8,0.0007508154376409948,56000,8
9,0.00027040092390961945,56000,9
10,0.00010010337427956983,56000,10
11,9.895981929730624e-05,56000,11
0,5.508074760437012,57000,0
1,1.7357807159423828,57000,1
2,0.511388897895813,57000,2
3,0.12748868763446808,57000,3
4,0.04059886187314987,57000,4
5,0.013506152667105198,57000,5
6,0.004174112807959318,57000,6
7,0.0015105787897482514,57000,7
8,0.0005660006427206099,57000,8
9,0.0002011515316553414,57000,9
10,0.0002011515316553414,57000,10
11,0.0002011515316553414,57000,11
0,5.614811420440674,58000,0
1,1.7939841747283936,58000,1
2,0.5443499684333801,58000,2
3,0.15030591189861298,58000,3
4,0.04369538649916649,58000,4
5,0.014899180270731449,58000,5
6,0.004335260950028896,58000,6
7,0.0016014918219298124,58000,7
8,0.0005818837671540678,58000,8
9,0.00020590868371073157,58000,9
10,0.00020590868371073157,58000,10
11,0.00020590868371073157,58000,11
0,5.503870010375977,59000,0
1,1.8068691492080688,59000,1
2,0.5586383938789368,59000,2
3,0.13526290655136108,59000,3
4,0.04395819827914238,59000,4
5,0.013847431167960167,59000,5
6,0.004726217593997717,59000,6
7,0.0016893557040020823,59000,7
8,0.0006036750855855644,59000,8
9,0.0002091192436637357,59000,9
10,0.0002091192436637357,59000,10
11,0.0002091192436637357,59000,11
0,5.824245452880859,60000,0
1,1.8632174730300903,60000,1
2,0.5596558451652527,60000,2
3,0.15341034531593323,60000,3
4,0.04576454311609268,60000,4
5,0.015927186235785484,60000,5
6,0.004856270272284746,60000,6
7,0.0016962275840342045,60000,7
8,0.0006513996049761772,60000,8
9,0.00025817984715104103,60000,9
10,8.414226613240317e-05,60000,10
11,8.414226613240317e-05,60000,11
0,5.641859531402588,61000,0
1,1.8620344400405884,61000,1
2,0.573677122592926,61000,2
3,0.14514988660812378,61000,3
4,0.04407675564289093,61000,4
5,0.014228086918592453,61000,5
6,0.00434010149911046,61000,6
7,0.0014533973298966885,61000,7
8,0.0005089275073260069,61000,8
9,0.000178255868377164,61000,9
10,6.392143404809758e-05,61000,10
11,6.392143404809758e-05,61000,11
0,5.74704122543335,62000,0
1,1.931614637374878,62000,1
2,0.6091071367263794,62000,2
3,0.17676039040088654,62000,3
4,0.05387848988175392,62000,4
5,0.01822415180504322,62000,5
6,0.005145257338881493,62000,6
7,0.0018236651085317135,62000,7
8,0.000644452462438494,62000,8
9,0.0002429573651170358,62000,9
10,0.0002429573651170358,62000,10
11,0.0002429573651170358,62000,11
0,5.76183557510376,63000,0
1,1.815839171409607,63000,1
2,0.5417157411575317,63000,2
3,0.15054282546043396,63000,3
4,0.0452687032520771,63000,4
5,0.01495936419814825,63000,5
6,0.004424239508807659,63000,6
7,0.0015364197315648198,63000,7
8,0.0005391328013502061,63000,8
9,0.00021715991897508502,63000,9
10,6.659171776846051e-05,63000,10
11,6.659171776846051e-05,63000,11
