,rel,train_step,solver_step
8,2.5883566195261665e-05,12000,8
9,1.101685302273836e-05,12000,9
10,3.868865860567894e-06,12000,10
11,3.868865860567894e-06,12000,11
0,0.2532203495502472,13000,0
1,0.07205548882484436,13000,1
2,0.02555590309202671,13000,2
3,0.008288760669529438,13000,3
4,0.0020662350580096245,13000,4
5,0.0007824901258572936,13000,5
6,0.00019128718122374266,13000,6
7,7.296709372894838e-05,13000,7
8,2.2561591322300956e-05,13000,8
9,7.996785825525876e-06,13000,9
10,7.996785825525876e-06,13000,10
11,7.996785825525876e-06,13000,11
0,0.26054811477661133,14000,0
1,0.07424680143594742,14000,1
2,0.02646384947001934,14000,2
3,0.008490952663123608,14000,3
4,0.0019568304996937513,14000,4
5,0.000731721636839211,14000,5
6,0.00017182934971060604,14000,6
7,6.38771743979305e-05,14000,7
8,1.980972410819959e-05,14000,8
9,7.73815827415092e-06,14000,9
10,7.73815827415092e-06,14000,10
11,7.73815827415092e-06,14000,11
0,0.24973568320274353,15000,0
1,0.07224241644144058,15000,1
2,0.027972381561994553,15000,2
3,0.017481543123722076,15000,3
4,0.005876915063709021,15000,4
5,0.002726638223975897,15000,5
6,0.0013066823594272137,15000,6
7,0.0004896937753073871,15000,7
8,0.00020544271683320403,15000,8
9,8.867208089213818e-05,15000,9
10,3.629526690929197e-05,15000,10
11,1.55335474119056e-05,15000,11
0,0.25255754590034485,16000,0
1,0.07259058207273483,16000,1
2,0.025509772822260857,16000,2
3,0.008171557448804379,16000,3
4,0.0019047876121476293,16000,4
5,0.000717894290573895,16000,5
6,0.00017400170327164233,16000,6
7,6.419039709726349e-05,16000,7
8,1.9896675439667888e-05,16000,8
9,7.78995490691159e-06,16000,9
10,7.6090095717518125e-06,16000,10
11,7.6090095717518125e-06,16000,11
0,0.24719524383544922,17000,0
1,0.07259124517440796,17000,1
2,0.0261994581669569,17000,2
3,0.011610734276473522,17000,3
4,0.0028807262424379587,17000,4
5,0.001108381780795753,17000,5
6,0.00037197841447778046,17000,6
7,0.00015827383322175592,17000,7
8,0.00023657527344767004,17000,8
9,5.720202898373827e-05,17000,9
10,2.2415117200580426e-05,17000,10
11,1.0968832611979451e-05,17000,11
0,0.25385698676109314,18000,0
1,0.07385465502738953,18000,1
2,0.025412190705537796,18000,2
3,0.0077285002917051315,18000,3
4,0.0018922764575108886,18000,4
5,0.0007087327539920807,18000,5
6,0.00017641416343394667,18000,6
7,6.638756894972175e-05,18000,7
8,2.0298355593695305e-05,18000,8
9,7.867517524573486e-06,18000,9
10,7.867517524573486e-06,18000,10
11,7.867517524573486e-06,18000,11
0,0.2559525966644287,19000,0
1,0.07755506783723831,19000,1
2,0.028044825419783592,19000,2
3,0.008422717452049255,19000,3
4,0.0021784040145576,19000,4
5,0.0008419851656071842,19000,5
6,0.0002528921468183398,19000,6
7,8.975216042017564e-05,19000,7
8,2.6188145056948997e-05,19000,8
9,9.895929906633683e-06,19000,9
10,3.3789908684411785e-06,19000,10
11,3.3789908684411785e-06,19000,11
0,0.25515517592430115,20000,0
1,0.07452110201120377,20000,1
2,0.025912772864103317,20000,2
3,0.008621526882052422,20000,3
4,0.0020231541711837053,20000,4
5,0.0007620241958647966,20000,5
6,0.00019265020091552287,20000,6
7,7.011571869952604e-05,20000,7
8,2.1711921363021247e-05,20000,8
9,2.1711921363021247e-05,20000,9
10,2.1711921363021247e-05,20000,10
11,2.1711921363021247e-05,20000,11
0,0.25221458077430725,21000,0
1,0.07542908191680908,21000,1
2,0.02520631067454815,21000,2
3,0.007386746816337109,21000,3
4,0.0019814488478004932,21000,4
5,0.0007105522090569139,21000,5
6,0.00019387193606235087,21000,6
7,7.193544297479093e-05,21000,7
8,2.266514638904482e-05,21000,8
9,2.266514638904482e-05,21000,9
10,2.266514638904482e-05,21000,10
11,2.266514638904482e-05,21000,11
0,0.2582758367061615,22000,0
1,0.07753215730190277,22000,1
2,0.026033049449324608,22000,2
3,0.007938127964735031,22000,3
4,0.0019321234431117773,22000,4
5,0.0007131966995075345,22000,5
6,0.00018229507259093225,22000,6
7,6.518702139146626e-05,22000,7
8,2.028642120421864e-05,22000,8
9,7.397164608846651e-06,22000,9
10,7.3283486017317045e-06,22000,10
11,7.3283486017317045e-06,22000,11
0,0.2529575228691101,23000,0
1,0.07830888777971268,23000,1
2,0.02609018050134182,23000,2
3,0.00789317674934864,23000,3
4,0.0019546346738934517,23000,4
5,0.0007134463521651924,23000,5
6,0.00018432768411003053,23000,6
7,6.574282451765612e-05,23000,7
8,2.0150522686890326e-05,23000,8
9,2.0150522686890326e-05,23000,9
10,2.0150522686890326e-05,23000,10
11,2.0150522686890326e-05,23000,11
0,0.24903368949890137,24000,0
1,0.07580702751874924,24000,1
2,0.024505842477083206,24000,2
3,0.007493758108466864,24000,3
4,0.0018423516303300858,24000,4
5,0.0006545927026309073,24000,5
6,0.0001771831011865288,24000,6
7,6.195362948346883e-05,24000,7
8,1.9637756849988364e-05,24000,8
9,1.9637756849988364e-05,24000,9
10,1.9637756849988364e-05,24000,10
11,1.9637756849988364e-05,24000,11
0,0.2562793493270874,25000,0
1,0.07886213064193726,25000,1
2,0.027448421344161034,25000,2
3,0.007931043393909931,25000,3
4,0.002141455188393593,25000,4
5,0.0008082984131760895,25000,5
6,0.00024058439885266125,25000,6
7,9.966292418539524e-05,25000,7
8,3.859195567201823e-05,25000,8
9,1.5414267181768082e-05,25000,9
10,5.590404725808185e-06,25000,10
11,2.1681619273294928e-06,25000,11
0,0.25941017270088196,26000,0
1,0.07851140201091766,26000,1
2,0.026027711108326912,26000,2
3,0.007997224107384682,26000,3
4,0.0019727491308003664,26000,4
5,0.0006993315764702857,26000,5
6,0.0001783664629328996,26000,6
7,6.50748988846317e-05,26000,7
8,1.910702485474758e-05,26000,8
9,1.910702485474758e-05,26000,9
10,1.910702485474758e-05,26000,10
11,1.910702485474758e-05,26000,11
0,0.25726017355918884,27000,0
1,0.08002116531133652,27000,1
2,0.025243937969207764,27000,2
3,0.007334977388381958,27000,3
4,0.00199652137234807,27000,4
5,0.0006968341185711324,27000,5
6,0.0001862245553638786,27000,6
7,6.564505747519433e-05,27000,7
8,2.177272835979238e-05,27000,8
9,7.959346476127394e-06,27000,9
10,7.959346476127394e-06,27000,10
11,7.959346476127394e-06,27000,11
0,0.25423017144203186,28000,0
1,0.07823289930820465,28000,1
2,0.025131288915872574,28000,2
3,0.007510825525969267,28000,3
4,0.001956075197085738,28000,4
5,0.0007117444183677435,28000,5
6,0.0001970918820006773,28000,6
7,7.014244329184294e-05,28000,7
8,2.279030013596639e-05,28000,8
9,8.208175131585449e-06,28000,9
10,8.208175131585449e-06,28000,10
11,8.208175131585449e-06,28000,11
0,0.25760361552238464,29000,0
1,0.07827460765838623,29000,1
2,0.025249389931559563,29000,2
3,0.007438254076987505,29000,3
4,0.0018483183812350035,29000,4
5,0.0006773531786166131,29000,5
6,0.00017239293083548546,29000,6
7,6.28564230282791e-05,29000,7
8,1.9289876945549622e-05,29000,8
9,1.9289876945549622e-05,29000,9
10,1.9289876945549622e-05,29000,10
11,1.9289876945549622e-05,29000,11
0,0.25599485635757446,30000,0
1,0.0795118436217308,30000,1
2,0.024311315268278122,30000,2
3,0.007021941244602203,30000,3
4,0.0017820904031395912,30000,4
5,0.000620170496404171,30000,5
6,0.0001562694669701159,30000,6
7,5.6384087656624615e-05,30000,7
8,1.7008789654937573e-05,30000,8
9,1.7008789654937573e-05,30000,9
10,1.7008789654937573e-05,30000,10
11,1.7008789654937573e-05,30000,11
0,0.2517392933368683,31000,0
1,0.08080093562602997,31000,1
2,0.02518245205283165,31000,2
3,0.007416698150336742,31000,3
4,0.0021160640753805637,31000,4
5,0.0007387411314994097,31000,5
6,0.00020371754362713546,31000,6
7,7.216527592390776e-05,31000,7
8,2.4889186533982866e-05,31000,8
9,9.082285941985901e-06,31000,9
10,9.082285941985901e-06,31000,10
11,9.082285941985901e-06,31000,11
0,0.25652778148651123,32000,0
1,0.07994730025529861,32000,1
