,rel,train_step,solver_step
7,8.419930964009836e-05,20000,7
8,2.7162179321749136e-05,20000,8
9,1.1027595974155702e-05,20000,9
10,3.5275911614007782e-06,20000,10
11,3.5275911614007782e-06,20000,11
0,0.31520888209342957,21000,0
1,0.10801921784877777,21000,1
2,0.03815527260303497,21000,2
3,0.013980373740196228,21000,3
4,0.002654128475114703,21000,4
5,0.0008342297514900565,21000,5
6,0.00023467121354769915,21000,6
7,7.584512059111148e-05,21000,7
8,2.641903847688809e-05,21000,8
9,1.1959531548200175e-05,21000,9
10,3.4778129247570178e-06,21000,10
11,3.4778129247570178e-06,21000,11
0,0.3161129653453827,22000,0
1,0.11282482743263245,22000,1
2,0.041605040431022644,22000,2
3,0.017947189509868622,22000,3
4,0.004018329083919525,22000,4
5,0.001268833875656128,22000,5
6,0.0004132089379709214,22000,6
7,0.00013653621135745198,22000,7
8,4.362419349490665e-05,22000,8
9,1.542384416097775e-05,22000,9
10,6.203664725035196e-06,22000,10
11,6.175017915666103e-06,22000,11
0,0.31871849298477173,23000,0
1,0.11754310131072998,23000,1
2,0.042156871408224106,23000,2
3,0.01465111318975687,23000,3
4,0.003388809971511364,23000,4
5,0.0010823808843269944,23000,5
6,0.0003752057964447886,23000,6
7,0.00010781254241010174,23000,7
8,4.588383308146149e-05,23000,8
9,1.785312451829668e-05,23000,9
10,5.370714916352881e-06,23000,10
11,5.370714916352881e-06,23000,11
0,0.31513917446136475,24000,0
1,0.10904984176158905,24000,1
2,0.03846835717558861,24000,2
3,0.014329010620713234,24000,3
4,0.003032023785635829,24000,4
5,0.0009278581710532308,24000,5
6,0.00027354067424312234,24000,6
7,9.145602234639227e-05,24000,7
8,2.9790679036523215e-05,24000,8
9,1.0642501365509816e-05,24000,9
10,3.878265033563366e-06,24000,10
11,3.878265033563366e-06,24000,11
0,0.3222547471523285,25000,0
1,0.11505726724863052,25000,1
2,0.03866913542151451,25000,2
3,0.01578146032989025,25000,3
4,0.0032460785005241632,25000,4
5,0.0009640329517424107,25000,5
6,0.00026199367130175233,25000,6
7,9.016803960548714e-05,25000,7
8,3.204167660442181e-05,25000,8
9,1.406349656463135e-05,25000,9
10,5.0397020459058695e-06,25000,10
11,1.638353069211007e-06,25000,11
0,0.3240174949169159,26000,0
1,0.11401543021202087,26000,1
2,0.03874879330396652,26000,2
3,0.013176614418625832,26000,3
4,0.002789029385894537,26000,4
5,0.0008036275394260883,26000,5
6,0.0002228257362730801,26000,6
7,7.496144826291129e-05,26000,7
8,2.7075473553850316e-05,26000,8
9,1.1396065019653179e-05,26000,9
10,3.355723038112046e-06,26000,10
11,3.315122739877552e-06,26000,11
0,0.32800546288490295,27000,0
1,0.11774840205907822,27000,1
2,0.043787889182567596,27000,2
3,0.03954043984413147,27000,3
4,0.009895961731672287,27000,4
5,0.0035079207736998796,27000,5
6,0.001110851764678955,27000,6
7,0.00048781937221065164,27000,7
8,0.00013943387602921575,27000,8
9,4.952397648594342e-05,27000,9
10,1.9394015907892026e-05,27000,10
11,8.106277164188214e-06,27000,11
0,0.32427898049354553,28000,0
1,0.11310295760631561,28000,1
2,0.0393809899687767,28000,2
3,0.013111855834722519,28000,3
4,0.002821692731231451,28000,4
5,0.0008319274056702852,28000,5
6,0.00022362802701536566,28000,6
