,abs,train_step,solver_step
8,0.0003858097770716995,14000,8
9,0.0003858097770716995,14000,9
10,0.0003858097770716995,14000,10
11,0.0003858097770716995,14000,11
0,6.117517471313477,15000,0
1,1.9636424779891968,15000,1
2,0.7800707221031189,15000,2
3,0.24980591237545013,15000,3
4,0.055980853736400604,15000,4
5,0.01776101440191269,15000,5
6,0.004728768952190876,15000,6
7,0.0015534070553258061,15000,7
8,0.0005092197679914534,15000,8
9,0.00019502072245813906,15000,9
10,0.00019502072245813906,15000,10
11,0.00019502072245813906,15000,11
0,6.1867523193359375,16000,0
1,1.944201946258545,16000,1
2,0.7743179202079773,16000,2
3,0.2407589703798294,16000,3
4,0.05142172425985336,16000,4
5,0.015893593430519104,16000,5
6,0.004087052773684263,16000,6
7,0.0012904603499919176,16000,7
8,0.00040383401210419834,16000,8
9,0.00040383401210419834,16000,9
10,0.00040383401210419834,16000,10
11,0.00040383401210419834,16000,11
0,6.5135817527771,17000,0
1,2.12955641746521,17000,1
2,0.8619327545166016,17000,2
3,0.2493460774421692,17000,3
4,0.05583132058382034,17000,4
5,0.01695508137345314,17000,5
6,0.004242066293954849,17000,6
7,0.0013567699352279305,17000,7
8,0.00041467638220638037,17000,8
9,0.00041467638220638037,17000,9
10,0.00041467638220638037,17000,10
11,0.00041467638220638037,17000,11
0,6.198051929473877,18000,0
1,1.9794400930404663,18000,1
2,0.7422787547111511,18000,2
3,0.3435080349445343,18000,3
4,0.07066196948289871,18000,4
5,0.023068714886903763,18000,5
6,0.007114465348422527,18000,6
7,0.002339080674573779,18000,7
8,0.0008125483873300254,18000,8
9,0.0003004468744620681,18000,9
10,0.00011909468594240025,18000,10
11,0.0001180399049189873,18000,11
0,6.520221710205078,19000,0
1,2.151231050491333,19000,1
2,0.8092612624168396,19000,2
3,0.2642503082752228,19000,3
4,0.05434056743979454,19000,4
5,0.016463464125990868,19000,5
6,0.004385803360491991,19000,6
7,0.0013625210849568248,19000,7
8,0.00045399501686915755,19000,8
9,0.00018503316096030176,19000,9
10,5.629166116705164e-05,19000,10
11,5.629166116705164e-05,19000,11
0,6.702389717102051,20000,0
1,2.2905521392822266,20000,1
2,0.8693042993545532,20000,2
3,0.35152268409729004,20000,3
4,0.06654585152864456,20000,4
5,0.01974601112306118,20000,5
6,0.005532188806682825,20000,6
7,0.001734129386022687,20000,7
8,0.0005702943308278918,20000,8
9,0.00022367476776707917,20000,9
10,7.25899008102715e-05,20000,10
11,7.25899008102715e-05,20000,11
0,6.765192031860352,21000,0
1,2.2648394107818604,21000,1
2,0.8428359627723694,21000,2
3,0.31217893958091736,21000,3
4,0.05758799985051155,21000,4
5,0.0178526621311903,21000,5
6,0.0050716036930680275,21000,6
7,0.0015832099597901106,21000,7
8,0.000544577487744391,21000,8
9,0.0002419216907583177,21000,9
10,7.171837205532938e-05,21000,10
11,7.171837205532938e-05,21000,11
0,6.864429950714111,22000,0
1,2.3679351806640625,22000,1
2,0.9254748225212097,22000,2
3,0.4000135362148285,22000,3
4,0.0870545506477356,22000,4
5,0.02702665701508522,22000,5
6,0.00879963394254446,22000,6
7,0.002845190931111574,22000,7
8,0.0009145591175183654,22000,8
9,0.0003179548657499254,22000,9
10,0.00012809335021302104,22000,10
11,0.0001274751703022048,22000,11
0,7.083014488220215,23000,0
1,2.508394956588745,23000,1
2,0.9442195296287537,23000,2
3,0.32249388098716736,23000,3
4,0.07419528067111969,23000,4
5,0.023248817771673203,23000,5
6,0.008019348606467247,23000,6
7,0.002259979024529457,23000,7
8,0.0009385911398567259,23000,8
9,0.00036295148311182857,23000,9
10,0.00011066691513406113,23000,10
11,0.00011066691513406113,23000,11
0,7.009839057922363,24000,0
1,2.3441553115844727,24000,1
2,0.8695088624954224,24000,2
3,0.32839372754096985,24000,3
4,0.0671708732843399,24000,4
5,0.020436013117432594,24000,5
6,0.006075548939406872,24000,6
7,0.001974361250177026,24000,7
8,0.0006378958350978792,24000,8
9,0.00022728153271600604,24000,9
10,8.236650319304317e-05,24000,10
11,8.236650319304317e-05,24000,11
0,7.10669469833374,25000,0
1,2.483710765838623,25000,1
2,0.87693852186203,25000,2
3,0.36591726541519165,25000,3
4,0.07257793843746185,25000,4
5,0.021701393648982048,25000,5
6,0.005861769430339336,25000,6
7,0.0019263692665845156,25000,7
8,0.0006912671960890293,25000,8
9,0.0003024540492333472,25000,9
10,0.00011015441123163328,25000,10
11,3.4482138289604336e-05,25000,11
0,7.297615051269531,26000,0
1,2.4899098873138428,26000,1
2,0.8925991058349609,26000,2
3,0.3022763133049011,26000,3
4,0.06365785002708435,26000,4
5,0.018055882304906845,26000,5
6,0.005056439433246851,26000,6
7,0.0016507545951753855,26000,7
8,0.0005842191749252379,26000,8
9,0.0002436487120576203,26000,9
10,7.431141420966014e-05,26000,10
11,7.312877278309315e-05,26000,11
0,7.3428635597229,27000,0
1,2.5191564559936523,27000,1
2,1.0033899545669556,27000,2
3,0.92547208070755,27000,3
4,0.22004517912864685,27000,4
5,0.07676252722740173,27000,5
6,0.02385387010872364,27000,6
7,0.010475290939211845,27000,7
8,0.0030386317521333694,27000,8
9,0.001061837887391448,27000,9
10,0.0004154570633545518,27000,10
11,0.00017407136328984052,27000,11
0,7.424513339996338,28000,0
1,2.486873149871826,28000,1
2,0.9198715686798096,28000,2
3,0.3023684024810791,28000,3
4,0.06445568054914474,28000,4
5,0.01890292763710022,28000,5
6,0.005061302334070206,28000,6
7,0.0015832270728424191,28000,7
8,0.0004985382547602057,28000,8
9,0.00017886173736769706,28000,9
10,0.00017886173736769706,28000,10
11,0.00017886173736769706,28000,11
0,7.281186103820801,29000,0
1,2.5403242111206055,29000,1
2,0.84759521484375,29000,2
3,0.41407185792922974,29000,3
4,0.0848739966750145,29000,4
5,0.023385683074593544,29000,5
6,0.0068665375001728535,29000,6
7,0.0020467026624828577,29000,7
8,0.0006128202076070011,29000,8
9,0.00018887284386437386,29000,9
10,0.00018887284386437386,29000,10
11,0.00018887284386437386,29000,11
0,7.499572277069092,30000,0
1,2.580820322036743,30000,1
2,0.8932889699935913,30000,2
3,0.3384268283843994,30000,3
4,0.06854777038097382,30000,4
5,0.02017582580447197,30000,5
6,0.005519766826182604,30000,6
7,0.0016261502169072628,30000,7
8,0.0005231275572441518,30000,8
9,0.0005231275572441518,30000,9
10,0.0005231275572441518,30000,10
11,0.0005231275572441518,30000,11
0,7.584301471710205,31000,0
1,2.560920000076294,31000,1
2,0.8759609460830688,31000,2
3,0.3125974237918854,31000,3
4,0.06276707351207733,31000,4
5,0.01834048330783844,31000,5
6,0.005053370259702206,31000,6
7,0.0015992745757102966,31000,7
8,0.0005769659765064716,31000,8
9,0.00017931147885974497,31000,9
10,0.00017931147885974497,31000,10
11,0.00017931147885974497,31000,11
0,7.861175060272217,32000,0
1,2.714881181716919,32000,1
2,0.9667607545852661,32000,2
3,0.37293994426727295,32000,3
4,0.07646356523036957,32000,4
5,0.01984696462750435,32000,5
6,0.005663629621267319,32000,6
7,0.0017669673543423414,32000,7
8,0.0005334460292942822,32000,8
9,0.00017321802442893386,32000,9
10,0.00017321802442893386,32000,10
11,0.00017321802442893386,32000,11
0,7.524264335632324,33000,0
1,2.647975444793701,33000,1
2,0.8370631337165833,33000,2
3,0.3709878623485565,33000,3
4,0.08601787686347961,33000,4
5,0.02465365082025528,33000,5
6,0.00744395749643445,33000,6
7,0.002317663747817278,33000,7
8,0.0007535730837844312,33000,8
9,0.0002563284360803664,33000,9
10,0.0002563284360803664,33000,10
11,0.0002563284360803664,33000,11
0,7.740344047546387,34000,0
1,2.556413173675537,34000,1
2,0.8978948593139648,34000,2
3,0.31168460845947266,34000,3
4,0.06445690989494324,34000,4
5,0.018971217796206474,34000,5
6,0.004839507397264242,34000,6
7,0.001503439387306571,34000,7
8,0.00047704315511509776,34000,8
9,0.00016902742208912969,34000,9
10,5.273996794130653e-05,34000,10
11,5.273996794130653e-05,34000,11
0,7.940463066101074,35000,0
1,2.7176852226257324,35000,1
2,0.960938036441803,35000,2
3,0.4002505838871002,35000,3
4,0.08011426031589508,35000,4
5,0.02173790894448757,35000,5
6,0.006243942771106958,35000,6
7,0.001885658479295671,35000,7
8,0.0005577320116572082,35000,8
9,0.00017954704526346177,35000,9
10,0.00017954704526346177,35000,10
11,0.00017954704526346177,35000,11
0,7.797817707061768,36000,0
